Confidence,max_confidence,Emotion
0.806504487991333,"[0.17615443468093872, 0.806504487991333, 0.017341097816824913]",Neutral
0.8472286462783813,"[0.1316768229007721, 0.8472286462783813, 0.02109452895820141]",Neutral
0.8324509263038635,"[0.1478125900030136, 0.8324509263038635, 0.019736526533961296]",Neutral
0.8347918391227722,"[0.14710165560245514, 0.8347918391227722, 0.018106477335095406]",Neutral
0.852651059627533,"[0.12584151327610016, 0.852651059627533, 0.021507389843463898]",Neutral
0.831656813621521,"[0.14869390428066254, 0.831656813621521, 0.019649261608719826]",Neutral
0.8156645894050598,"[0.16726726293563843, 0.8156645894050598, 0.017068171873688698]",Neutral
0.8331389427185059,"[0.14648094773292542, 0.8331389427185059, 0.020380081608891487]",Neutral
0.8420881628990173,"[0.13777309656143188, 0.8420881628990173, 0.02013866975903511]",Neutral
0.8419266939163208,"[0.13731355965137482, 0.8419266939163208, 0.02075977250933647]",Neutral
0.8232292532920837,"[0.15746274590492249, 0.8232292532920837, 0.019308025017380714]",Neutral
0.8441624045372009,"[0.13635486364364624, 0.8441624045372009, 0.019482729956507683]",Neutral
0.8144591450691223,"[0.1664576381444931, 0.8144591450691223, 0.019083252176642418]",Neutral
0.8190251588821411,"[0.16146832704544067, 0.8190251588821411, 0.019506540149450302]",Neutral
0.8242072463035583,"[0.15380026400089264, 0.8242072463035583, 0.021992474794387817]",Neutral
0.8033901453018188,"[0.1787816733121872, 0.8033901453018188, 0.017828185111284256]",Neutral
0.7976439595222473,"[0.18071752786636353, 0.7976439595222473, 0.021638527512550354]",Neutral
0.8137423396110535,"[0.16765165328979492, 0.8137423396110535, 0.01860600896179676]",Neutral
0.8127848505973816,"[0.16323129832744598, 0.8127848505973816, 0.02398381568491459]",Neutral
0.8233357071876526,"[0.15664660930633545, 0.8233357071876526, 0.020017612725496292]",Neutral
0.825482189655304,"[0.15278489887714386, 0.825482189655304, 0.021732831373810768]",Neutral
0.8452028632164001,"[0.12760508060455322, 0.8452028632164001, 0.02719205617904663]",Neutral
0.826998770236969,"[0.1464207023382187, 0.826998770236969, 0.02658059448003769]",Neutral
0.8260481953620911,"[0.15005385875701904, 0.8260481953620911, 0.02389794960618019]",Neutral
0.8208415508270264,"[0.15801025927066803, 0.8208415508270264, 0.0211481973528862]",Neutral
0.8373590707778931,"[0.13812729716300964, 0.8373590707778931, 0.024513669312000275]",Neutral
0.8327955603599548,"[0.14308878779411316, 0.8327955603599548, 0.02411562390625477]",Neutral
0.8295461535453796,"[0.14669911563396454, 0.8295461535453796, 0.02375475876033306]",Neutral
0.8471090793609619,"[0.1300542950630188, 0.8471090793609619, 0.02283656597137451]",Neutral
0.8385886549949646,"[0.13580863177776337, 0.8385886549949646, 0.02560265362262726]",Neutral
0.8230687379837036,"[0.15073516964912415, 0.8230687379837036, 0.026196127757430077]",Neutral
0.8233351707458496,"[0.14727912843227386, 0.8233351707458496, 0.029385650530457497]",Neutral
0.8536580801010132,"[0.11410340666770935, 0.8536580801010132, 0.032238543033599854]",Neutral
0.8391238451004028,"[0.12721385061740875, 0.8391238451004028, 0.03366229310631752]",Neutral
0.836104154586792,"[0.1358536332845688, 0.836104154586792, 0.028042219579219818]",Neutral
0.8243993520736694,"[0.14777050912380219, 0.8243993520736694, 0.027830112725496292]",Neutral
0.8458561301231384,"[0.12089646607637405, 0.8458561301231384, 0.03324740752577782]",Neutral
0.8514421582221985,"[0.11869234591722488, 0.8514421582221985, 0.02986552007496357]",Neutral
0.851068377494812,"[0.12105566263198853, 0.851068377494812, 0.02787594310939312]",Neutral
0.852903425693512,"[0.11769721657037735, 0.852903425693512, 0.029399344697594643]",Neutral
0.8588324189186096,"[0.1053013801574707, 0.8588324189186096, 0.03586617112159729]",Neutral
0.8530903458595276,"[0.11712244153022766, 0.8530903458595276, 0.029787201434373856]",Neutral
0.8205487728118896,"[0.14843131601810455, 0.8205487728118896, 0.031019946560263634]",Neutral
0.8420939445495605,"[0.1265653371810913, 0.8420939445495605, 0.03134075552225113]",Neutral
0.8442601561546326,"[0.11731233447790146, 0.8442601561546326, 0.03842746466398239]",Neutral
0.8351612091064453,"[0.13181300461292267, 0.8351612091064453, 0.0330258384346962]",Neutral
0.8405829071998596,"[0.12596569955348969, 0.8405829071998596, 0.03345135971903801]",Neutral
0.853518009185791,"[0.10838141292333603, 0.853518009185791, 0.03810058534145355]",Neutral
0.8237758874893188,"[0.13826771080493927, 0.8237758874893188, 0.037956397980451584]",Neutral
0.8454729318618774,"[0.12217061966657639, 0.8454729318618774, 0.03235645592212677]",Neutral
0.8307051658630371,"[0.13739100098609924, 0.8307051658630371, 0.03190385177731514]",Neutral
0.8434819579124451,"[0.11794626712799072, 0.8434819579124451, 0.0385717898607254]",Neutral
0.8365290760993958,"[0.12281497567892075, 0.8365290760993958, 0.040655992925167084]",Neutral
0.8198204040527344,"[0.1418290138244629, 0.8198204040527344, 0.03835058584809303]",Neutral
0.8471217751502991,"[0.10604095458984375, 0.8471217751502991, 0.04683733731508255]",Neutral
0.8271227478981018,"[0.13398082554340363, 0.8271227478981018, 0.038896407932043076]",Neutral
0.8383883833885193,"[0.11989264190196991, 0.8383883833885193, 0.04171900823712349]",Neutral
0.8310360312461853,"[0.13487593829631805, 0.8310360312461853, 0.03408800810575485]",Neutral
0.8360266089439392,"[0.12218081951141357, 0.8360266089439392, 0.041792601346969604]",Neutral
0.8227484226226807,"[0.13824017345905304, 0.8227484226226807, 0.039011385291814804]",Neutral
0.8320449590682983,"[0.1302155703306198, 0.8320449590682983, 0.03773951530456543]",Neutral
0.8416781425476074,"[0.11287187784910202, 0.8416781425476074, 0.045449960976839066]",Neutral
0.8360829949378967,"[0.12419633567333221, 0.8360829949378967, 0.03972063213586807]",Neutral
0.8354848027229309,"[0.1274164617061615, 0.8354848027229309, 0.037098728120326996]",Neutral
0.8296494483947754,"[0.13416965305805206, 0.8296494483947754, 0.03618090972304344]",Neutral
0.8315442204475403,"[0.13224948942661285, 0.8315442204475403, 0.036206282675266266]",Neutral
0.8182964324951172,"[0.14612188935279846, 0.8182964324951172, 0.03558168560266495]",Neutral
0.848051130771637,"[0.1124577522277832, 0.848051130771637, 0.03949117287993431]",Neutral
0.8330536484718323,"[0.13612385094165802, 0.8330536484718323, 0.030822517350316048]",Neutral
0.8341540694236755,"[0.12877517938613892, 0.8341540694236755, 0.03707077354192734]",Neutral
0.8357599377632141,"[0.13095976412296295, 0.8357599377632141, 0.03328028693795204]",Neutral
0.8566378951072693,"[0.10473407059907913, 0.8566378951072693, 0.03862801939249039]",Neutral
0.8188692331314087,"[0.14142891764640808, 0.8188692331314087, 0.03970181941986084]",Neutral
0.8470156788825989,"[0.11165500432252884, 0.8470156788825989, 0.04132930561900139]",Neutral
0.8412286639213562,"[0.12272187322378159, 0.8412286639213562, 0.03604946658015251]",Neutral
0.8240844011306763,"[0.13730402290821075, 0.8240844011306763, 0.038611579686403275]",Neutral
